engagement_probability,threeXthree,twoXtwo
0.120325744,0,0
0.081717804,0,0
0.558272004,0,0
0.508212864,1,1
0.131666675,1,1
0.043889612,0,0
0.03993734,0,0
0.5231148,1,1
0.104094289,0,0
0.116302386,0,0
0.10301502,0,0
0.040889189,0,0
0.083934382,0,0
0.032056723,0,0
0.533362448,0,0
0.482016504,1,1
0.093220659,0,0
0.10746377,0,0
0.089246444,0,0
0.167648345,0,0
0.071275987,0,0
0.46172139,1,1
0.079073466,0,0
0.093474761,0,0
0.492694944,1,1
0.14525643,0,1
0.561302483,0,0
0.073127061,0,0
0.119355433,0,0
0.04362797,0,0
0.519343555,0,0
0.356239319,0,0
0.070742488,0,0
0.467265934,1,1
0.40730086,0,0
0.141353905,0,0
0.354260474,1,1
0.398405522,1,1
0.129077092,0,0
0.462259889,1,1
0.079833418,0,0
0.110925317,0,0
0.036005624,0,0
0.048714716,0,0
0.031892743,0,0
0.063688882,0,0
0.121283196,0,0
0.107795618,0,0
0.424087077,1,1
0.16754359,1,1
0.04637396,0,0
0.111456595,0,0
0.05535369,0,0
0.101055689,0,0
0.07716877,0,0
0.049873054,0,0
0.022257691,0,0
0.09112592,0,0
0.632115722,0,1
0.114701718,0,0
0.101948105,0,0
0.032287784,0,0
0.097175524,0,1
0.395007968,0,0
0.50384593,1,1
0.034746431,0,0
0.112810194,0,0
0.115069114,0,0
0.072971009,0,0
0.112339385,0,0
0.372178435,0,0
0.61151576,0,0
0.140527681,0,0
0.097851522,0,0
0.105913304,0,0
0.118764818,0,0
0.467446655,1,1
0.456236511,0,1
0.543773472,0,0
0.143171459,0,0
0.446535915,0,0
0.039046161,0,0
0.027277466,0,0
0.449327558,1,1
0.029264705,0,0
0.470850736,0,1
0.093329765,0,0
0.078525603,0,0
0.429293662,0,0
0.470249414,0,0
0.045654077,0,0
0.081379555,0,0
0.495024443,0,0
0.03294836,0,0
0.046735078,0,0
0.13643603,0,0
0.033959512,0,0
0.044632096,0,0
0.125707552,0,0
0.476260334,0,0
0.477684766,1,1
0.158339858,0,0
0.42575413,0,0
0.03746888,0,0
0.0283539,0,0
0.564503133,0,0
0.415216565,1,1
0.429528594,0,0
0.093620889,1,1
0.071161494,0,0
0.355082273,1,1
0.490390569,0,0
0.435123891,1,1
0.523255348,1,1
0.424256474,0,0
0.04180897,0,0
0.16470626,1,1
0.105628245,0,0
0.107192226,0,0
0.135602891,0,0
0.084826007,0,0
0.029780364,0,0
0.106739953,0,0
0.517195642,1,1
0.502039492,0,0
0.121406518,0,0
0.08825732,0,0
0.496765584,0,0
0.112681352,0,0
0.445206881,1,1
0.534703434,1,1
0.571750462,1,1
0.507999837,1,1
0.485679358,1,1
0.044997286,0,0
0.08239679,0,0
0.203045338,1,1
0.0885249,0,0
0.079846971,0,0
0.413265377,1,1
0.077199407,0,0
0.498710901,1,1
0.099098563,0,0
0.04091556,0,0
0.033323977,0,0
0.438525289,0,0
0.066266216,0,0
0.519684255,0,0
0.545595407,0,1
0.360236049,0,0
0.109888628,0,0
0.411324084,0,0
0.038719077,0,0
0.034683231,0,0
0.334225684,0,0
0.085904829,0,0
0.107725933,0,0
0.085746616,0,0
0.124876432,0,0
0.109313354,0,0
0.025918005,0,0
0.224234849,0,0
0.420287549,1,1
0.544465005,0,0
0.321475416,0,0
0.035574775,0,0
0.566417754,1,1
0.460071921,0,0
0.087409668,0,0
0.071954362,0,0
0.385872841,0,0
0.18273817,1,1
0.048720241,0,0
0.101124436,0,0
0.566125572,0,0
0.100506157,0,0
0.045180622,0,0
0.126471281,0,0
0.510941923,1,1
0.177617937,1,1
0.07420788,0,0
0.094922677,0,0
0.495407432,0,0
0.031321153,0,0
0.399252415,1,1
0.07420788,0,0
0.573789656,0,0
0.035154123,0,0
0.035036337,0,0
0.3593584,0,0
0.100468047,0,0
0.512978971,1,1
0.435934395,1,1
0.083345398,0,0
0.137424365,0,0
0.033147886,0,0
0.091078877,0,0
0.082721032,0,0
0.08626014,0,0
0.098864183,0,0
0.117123373,1,1
0.446983039,1,1
0.470882267,1,1
0.037508845,0,0
0.064772107,0,0
0.406433523,1,1
0.029586118,0,0
0.585492551,0,0
0.133211464,0,0
0.095164455,0,0
0.088234842,0,1
0.434876382,1,1
0.529024661,0,0
0.079865612,0,0
0.077202402,0,0
0.040945001,0,0
0.090046018,0,0
0.098118909,0,0
0.065667801,0,0
0.547517538,1,1
0.117887035,0,0
0.44447431,1,1
0.07603658,0,0
0.027014125,0,0
0.031736739,0,0
0.030050159,0,0
0.4926534,0,0
0.042090151,0,0
0.058464825,0,0
0.045896895,0,0
0.435319573,0,0
0.415895313,0,0
0.131889507,0,0
0.513257265,1,1
0.039477926,0,0
0.090337351,0,0
0.406174183,0,0
0.077900715,0,0
0.03904172,0,0
0.454425156,0,0
0.06564346,0,0
0.063306764,0,0
0.08141052,0,0
0.138909206,0,0
0.158705592,0,0
0.455658555,0,0
0.106043421,0,0
0.09124776,0,1
0.481417716,1,1
0.483896881,0,0
0.032780539,0,0
0.258480966,0,0
0.079352848,0,0
0.604939163,1,1
0.22483328,0,0
0.386408329,1,1
0.073127024,0,0
0.0790883,0,0
0.196266726,0,0
0.423876882,0,0
0.112890884,0,0
0.056753695,0,0
0.49288255,1,1
0.038917437,0,0
0.124764927,0,0
0.03684663,0,0
0.618757904,1,1
0.368709475,0,0
0.052842863,0,0
0.11930231,0,0
0.1335866,0,0
0.082318433,0,0
0.120400913,0,0
0.470917523,0,0
0.108461924,1,1
0.156872377,0,0
0.085777365,0,0
0.071673267,0,0
0.188542187,0,0
0.588077843,0,0
0.046203475,0,0
0.104163982,0,0
0.443127185,0,1
0.419018537,0,0
0.032476202,0,0
0.17997472,1,1
0.043658294,0,0
0.042163413,0,0
0.332475752,0,0
0.036287826,0,0
0.139402837,0,0
0.147430137,0,0
0.070140488,0,0
0.191898689,0,0
0.459957987,0,0
0.029382475,0,0
0.032622803,0,0
0.100233197,0,0
0.096480399,0,0
0.428384811,1,1
0.035200916,0,0
0.099290743,0,0
0.117066547,0,0
0.100735307,0,0
0.08919692,0,0
0.091413848,0,0
0.585615098,1,1
0.433448046,0,0
0.048008721,0,0
0.046342764,0,0
0.042456832,0,0
0.029991364,0,0
0.560251713,0,0
0.63716042,1,1
0.073076278,0,0
0.49044016,1,1
0.027430486,0,0
0.512541354,0,0
0.094919607,0,0
0.342876256,0,0
0.533954859,1,1
0.496587396,0,1
0.099573597,0,0
0.036870636,0,0
0.084355228,0,0
0.04267041,0,0
0.488381952,1,1
0.033065878,0,0
0.114718981,1,1
0.084427632,0,0
0.025656782,0,0
0.043361746,0,0
0.1575014,0,0
0.154698089,0,0
0.025706917,0,0
0.104959831,0,0
0.079096191,0,0
0.607501447,1,1
0.129574656,0,0
0.039823119,0,0
0.404666305,0,0
0.112645537,0,0
0.109890774,0,0
0.436973959,1,1
0.531506181,0,0
0.088156775,0,0
0.447514325,0,0
0.047841851,0,0
0.108544827,0,0
0.376491219,1,1
0.093504466,0,0
0.092161439,0,0
0.422658324,0,0
0.104733594,0,0
0.517449617,1,1
0.150568143,0,0
0.219310313,0,0
0.133418947,0,0
0.570771396,1,1
0.407854617,0,0
0.126096651,0,0
0.02992291,0,0
0.036009207,0,0
0.067598343,0,0
0.093333662,0,1
0.447965503,0,0
0.532057524,0,0
0.476473778,0,0
0.085298084,0,0
0.106619157,0,0
0.080393136,0,0
0.443053842,0,0
0.03677443,0,0
0.475315511,1,1
0.430085659,1,1
0.036395691,0,0
0.386666358,1,1
0.074650578,0,0
0.093894042,0,0
0.543012977,1,1
0.13423951,0,1
0.31622532,0,0
0.104925342,0,0
0.033210091,0,0
0.093678065,0,0
0.441964,0,0
0.10717883,0,0
0.184349075,0,0
0.055143248,0,0
0.082245596,0,0
0.047842,0,0
0.11473766,0,0
0.303890198,0,0
0.095873289,0,0
0.096960634,0,0
0.035493717,0,0
0.123632431,1,1
0.18587403,0,0
0.027085517,0,0
0.539695144,0,0
0.120750025,0,0
0.040357109,0,0
0.040830858,0,0
0.387114733,0,1
0.381893814,0,0
0.46886152,1,1
0.081067964,0,0
0.083526447,0,0
0.322050452,0,0
0.075751685,1,1
0.048501261,0,0
0.549206972,0,0
0.548200488,0,0
0.083294652,0,0
0.526828945,0,0
0.488085151,1,1
0.032480672,0,0
0.33715421,0,0
0.384181678,0,0
0.11451716,1,1
0.455331653,0,0
0.475237131,0,0
0.107709818,0,0
0.08464545,0,0
0.062207256,0,0
0.088855922,0,0
0.029733645,0,0
0.0405006,0,0
0.5945189,0,0
0.038203798,0,0
0.046330128,0,0
0.144002259,0,0
0.138978347,0,0
0.165713429,0,0
0.497027248,0,1
0.100049406,0,0
0.133262768,0,1
0.047245931,0,0
0.542357028,0,0
0.514848471,1,1
0.040692195,0,0
0.032368239,0,0
0.056678597,0,0
0.092404932,0,0
0.084672093,0,0
0.534748197,0,0
0.088842735,0,0
0.109131783,0,0
0.031426094,0,0
0.120702572,0,0
0.423715472,0,0
0.075075954,0,0
0.041981626,0,0
0.028493168,0,0
0.457832396,0,0
0.411716849,1,1
0.550970614,0,0
0.143878788,0,0
0.127430707,1,1
0.054166865,0,0
0.138864785,0,0
0.110735096,0,0
0.035699356,0,0
0.04030164,0,0
0.126674846,0,0
0.177901775,0,0
0.134994939,0,0
0.455513477,1,1
0.047711946,0,0
0.073051989,0,0
0.040915899,0,0
0.055977017,0,0
0.47371605,0,0
0.073675379,1,1
0.030269645,0,0
0.484324276,1,1
0.097453848,0,0
0.136012703,1,1
0.370454758,1,1
0.431134701,0,0
0.090189941,0,0
0.064334981,0,0
0.416947007,1,1
0.036200829,0,0
0.379009664,0,0
0.046169046,0,0
0.473227113,0,0
0.617797077,1,1
0.138624936,0,0
0.116352946,0,0
0.080582961,0,0
0.124678954,0,0
0.075837545,0,0
0.603758276,1,1
0.031516161,0,0
0.37824735,1,1
0.47760722,0,0
0.449557066,1,1
0.09458141,0,0
0.09595184,0,0
0.49687773,1,1
0.079101667,0,0
0.071348853,0,0
0.38753587,0,0
0.042303186,0,0
0.033479102,0,0
0.459318072,1,1
0.09607397,0,0
0.032869205,0,0
0.494960934,1,1
0.038309637,0,0
0.56583178,0,0
0.038476478,0,0
0.557629645,0,0
0.062809162,0,0
0.520799875,0,0
0.463006139,1,1
0.493339926,0,0
0.082543306,0,0
0.033240378,0,0
0.058537513,0,0
0.08815673,0,0
0.083463185,0,0
0.032541864,0,0
0.097207367,0,0
0.034547895,0,0
0.084880836,0,0
0.085434094,0,0
0.43274051,1,1
0.111807704,0,0
0.474210292,0,1
0.030153228,0,0
0.116994672,0,0
0.110210329,0,0
0.115498737,0,0
0.029935682,0,0
0.513347864,0,0
0.389976621,0,0
0.069512568,0,0
0.040130191,0,0
0.513130546,0,0
0.177036852,1,1
0.067924671,0,0
0.063102342,0,0
0.03120479,0,0
0.107537612,0,0
0.405172944,0,0
0.033951674,0,0
0.083757237,0,0
0.038182467,0,0
0.486190736,0,0
0.061211526,0,0
0.441553295,0,1
0.15100044,1,1
0.039432604,0,0
0.081363685,0,0
0.046529684,0,0
0.092617869,0,0
0.143844366,1,1
0.056813955,0,0
0.098652169,0,0
0.087744355,0,0
0.039773922,0,0
0.079703093,0,0
0.104623564,0,0
0.040510558,0,0
0.54589045,0,0
0.37501362,0,0
0.030235521,0,0
0.099057868,0,0
0.037919749,0,0
0.028706357,0,0
0.493880004,1,1
0.02974152,0,0
0.042362832,0,0
0.085514054,0,0
