longitude,latitude,color,voters,geoid,cd,ld,pid
-111.63997,33.263009,#1368f0,828,40138169002,5,15,Democrat (DEM)
-111.63997,33.263009,#c41221,2280,40138169002,5,15,Republican (REP)
-111.63997,33.263009,#FF5733,1308,40138169002,5,15,Independent
-111.63997,33.263009,#FF5733,46,40138169002,5,15,Libertarian (LIB)
-110.7222785,32.1128359,#c41221,576,40190040641,6,19,Republican (REP)
-110.7222785,32.1128359,#1368f0,319,40190040641,6,19,Democrat (DEM)
-110.7222785,32.1128359,#1368f0,483,40190040641,6,17,Democrat (DEM)
-110.7222785,32.1128359,#c41221,1115,40190040641,6,17,Republican (REP)
-110.7222785,32.1128359,#FF5733,387,40190040641,6,19,Independent
-110.7222785,32.1128359,#FF5733,614,40190040641,6,17,Independent
-110.7222785,32.1128359,#FF5733,21,40190040641,6,17,Libertarian (LIB)
-110.7222785,32.1128359,#FF5733,10,40190040641,6,19,Libertarian (LIB)
-111.7507123,33.3865501,#c41221,496,40134225142,4,10,Republican (REP)
-111.7507123,33.3865501,#1368f0,428,40134225142,4,10,Democrat (DEM)
-111.7507123,33.3865501,#FF5733,600,40134225142,4,10,Independent
-111.7507123,33.3865501,#FF5733,30,40134225142,4,10,Libertarian (LIB)
-110.5711155,32.1497781,#c41221,431,40190040611,6,19,Republican (REP)
-110.5711155,32.1497781,#c41221,587,40190040611,6,17,Republican (REP)
-110.5711155,32.1497781,#1368f0,293,40190040611,6,17,Democrat (DEM)
-110.5711155,32.1497781,#1368f0,199,40190040611,6,19,Democrat (DEM)
-110.5711155,32.1497781,#FF5733,255,40190040611,6,19,Independent
-110.5711155,32.1497781,#FF5733,277,40190040611,6,17,Independent
-110.5711155,32.1497781,#FF5733,14,40190040611,6,19,Libertarian (LIB)
-110.5711155,32.1497781,#FF5733,7,40190040611,6,17,Libertarian (LIB)
-111.9197726,33.3752116,#1368f0,561,40133199031,4,12,Democrat (DEM)
-111.9197726,33.3752116,#FF5733,488,40133199031,4,12,Independent
-111.9197726,33.3752116,#c41221,316,40133199031,4,12,Republican (REP)
-111.9197726,33.3752116,#FF5733,22,40133199031,4,12,Libertarian (LIB)
-111.7275522,33.4445634,#c41221,796,40134202151,4,10,Republican (REP)
-111.7275522,33.4445634,#1368f0,492,40134202151,4,10,Democrat (DEM)
-111.7275522,33.4445634,#FF5733,632,40134202151,4,10,Independent
-111.7275522,33.4445634,#FF5733,22,40134202151,4,10,Libertarian (LIB)
-111.631827,33.3577398,#c41221,808,40134226431,5,15,Republican (REP)
-111.631827,33.3577398,#FF5733,559,40134226431,5,15,Independent
-111.631827,33.3577398,#1368f0,430,40134226431,5,15,Democrat (DEM)
-111.631827,33.3577398,#FF5733,29,40134226431,5,15,Libertarian (LIB)
-111.4363196,33.2304263,#c41221,747,40210002071,5,15,Republican (REP)
-111.4363196,33.2304263,#1368f0,39,40210002071,2,7,Democrat (DEM)
-111.4363196,33.2304263,#c41221,175,40210002071,2,7,Republican (REP)
-111.4363196,33.2304263,#FF5733,116,40210002071,2,7,Independent
-111.4363196,33.2304263,#FF5733,607,40210002071,5,15,Independent
-111.4363196,33.2304263,#1368f0,292,40210002071,5,15,Democrat (DEM)
-111.4363196,33.2304263,#FF5733,18,40210002071,5,15,Libertarian (LIB)
-111.4363196,33.2304263,#FF5733,5,40210002071,2,7,Libertarian (LIB)
-111.4363196,33.2304263,#1368f0,3,40210002071,2,15,Democrat (DEM)
-111.4363196,33.2304263,#c41221,2,40210002071,2,15,Republican (REP)
-111.4363196,33.2304263,#FF5733,2,40210002071,2,15,Independent
-111.7621448,33.4556636,#c41221,759,40134203031,4,10,Republican (REP)
-111.7621448,33.4556636,#1368f0,353,40134203031,4,10,Democrat (DEM)
-111.7621448,33.4556636,#FF5733,500,40134203031,4,10,Independent
